   tau1     tau2   tau3   tau4  tau5   tau6   t1
1.806374999999998954e+00  7.778750000000042020e-01  -8.639999999999966596e-01  -8.047499999999998543e-01  1.261750000000002370e+00  3.470000000000000862e-01  7.714372873306274414e+00
2.287375000000007930e+00  9.462499999999991473e-01  -9.408750000000006830e-01  -6.464999999999995195e-01  1.326500000000001345e+00  4.066250000000007359e-01  7.794990062713623047e+00
2.196375000000000188e+00  1.069624999999997605e+00  -1.135499999999997511e+00  -7.557500000000011431e-01  1.517374999999999696e+00  4.976250000000015383e-01  7.842686891555786133e+00
2.374625000000005315e+00  1.740499999999999714e+00  -1.855874999999999941e+00  -1.431374999999998510e+00  2.086749999999999883e+00  4.661249999999977911e-01  7.931737899780273438e+00
2.300374999999996728e+00  3.362375000000000558e+00  -3.491375000000000117e+00  1.164499999999998758e+00  2.141000000000000458e+00  7.212499999999996136e-01  7.999727964401245117e+00
1.969249999999998835e+00  2.335749999999997328e+00  -2.459249999999995939e+00  1.327749999999999098e+00  1.402500000000000968e+00  7.308749999999988312e-01  8.068136930465698242e+00
1.308750000000000080e+00  -7.262499999999977307e-02  -7.200000000000261746e-02  -9.081249999999991829e-01  4.488750000000013562e-01  4.324999999999953881e-01  8.133347988128662109e+00
9.746249999999989644e-01  -8.503750000000004361e-01  6.856250000000021494e-01  -1.359124999999999250e+00  1.358750000000005786e-01  2.144999999999994134e-01  8.175504922866821289e+00
8.675000000000001599e-01  -9.804999999999952642e-01  7.448749999999989546e-01  -1.423999999999998156e+00  6.574999999999636691e-02  2.933749999999984981e-01  8.226530075073242188e+00
7.276250000000025198e-01  -6.390000000000006786e-01  4.489999999999980118e-01  -9.375000000000007772e-01  1.251249999999967666e-01  2.233749999999978808e-01  8.262482881546020508e+00
5.693750000000004086e-01  -3.879999999999994564e-01  2.457499999999959717e-01  -5.995000000000028084e-01  -2.699999999999924682e-02  2.850000000000005307e-01  8.301264047622680664e+00
3.911250000000025540e-01  -4.459999999999950115e-01  3.462499999999993361e-01  -4.515000000000005120e-01  -2.144999999999994134e-01  2.757499999999982188e-01  8.340942859649658203e+00
1.527500000000001079e-01  -5.177499999999973790e-01  4.650000000000001354e-01  -1.288750000000005169e-01  -4.945000000000018825e-01  3.212500000000020894e-01  8.384788990020751953e+00
1.268749999999985167e-01  -4.270000000000002682e-01  3.628749999999986153e-01  -2.721249999999980629e-01  -4.283750000000016711e-01  3.567499999999994009e-01  8.418210029602050781e+00
1.021249999999980507e-01  -2.995000000000011542e-01  2.789999999999979718e-01  -3.347500000000017129e-01  -2.941250000000061871e-01  2.109999999999993825e-01  8.469543933868408203e+00
1.002499999999996450e-01  -3.148750000000026250e-01  2.616250000000014397e-01  -2.629999999999993454e-01  -4.285000000000052656e-01  2.290000000000000369e-01  8.514740943908691406e+00
-2.962499999999840261e-02  -2.618750000000016898e-01  2.627500000000025371e-01  -4.175000000000012035e-02  -4.790000000000002589e-01  2.508749999999976277e-01  8.548660039901733398e+00
-3.850000000000033951e-02  -2.517499999999984750e-01  2.787499999999977218e-01  -2.500000000002500222e-04  -4.348750000000012328e-01  2.520000000000022222e-01  8.590317010879516602e+00
-2.153750000000002884e-01  -3.397499999999997744e-01  3.486249999999982419e-01  3.692500000000015214e-01  -5.508750000000062208e-01  2.659999999999988485e-01  8.630486011505126953e+00
-1.810000000000006048e-01  -3.486249999999982419e-01  3.291249999999995568e-01  4.587500000000008238e-01  -5.692500000000002558e-01  3.527499999999988978e-01  8.664985895156860352e+00
-2.721250000000015046e-01  -3.680000000000002713e-01  3.381250000000016187e-01  6.028749999999957199e-01  -6.525000000000003020e-01  2.813750000000003748e-01  8.704216003417968750e+00
-3.267499999999971538e-01  -3.448749999999979332e-01  3.086249999999998717e-01  7.235000000000019194e-01  -6.315000000000000613e-01  3.011250000000010307e-01  8.749749898910522461e+00
-3.378750000000013687e-01  -4.023749999999999272e-01  2.867500000000005600e-01  5.517500000000036264e-01  -6.092499999999986260e-01  2.737499999999996603e-01  8.794216871261596680e+00
-2.958750000000009983e-01  -3.977500000000005476e-01  2.567500000000000338e-01  6.981250000000007727e-01  -5.502499999999986846e-01  2.727500000000004365e-01  8.830726861953735352e+00
-3.975000000000020184e-01  -3.353750000000005893e-01  2.546249999999996572e-01  6.322500000000008669e-01  -5.517500000000001847e-01  2.628750000000009690e-01  8.868555068969726562e+00
-3.675000000000205880e-02  -1.237500000000023304e-02  1.137499999999923295e-02  -1.500000000001500133e-03  -2.987500000000212208e-02  -1.937500000000029476e-02  8.916476011276245117e+00
-7.500000000000005794e-03  -1.625000000000000056e-02  -1.412500000000000387e-02  -4.608749999999999791e-01  -3.999999999999995746e-03  6.750000000000001658e-03  9.723456859588623047e+00
1.475000000000000616e-02  1.424999999999999704e-02  -3.725000000000000533e-02  3.775000000000000022e-01  -1.537499999999999457e-02  3.762500000000000566e-02  9.807714939117431641e+00
1.243124999999999813e+00  1.405499999999999527e+00  -2.545000000000000373e+00  -2.185875000000000234e+00  -5.343125000000000568e+00  4.493250000000000632e+00  9.887028932571411133e+00
1.024624999999999453e+00  1.154374999999999041e+00  -1.728374999999997330e+00  -1.965125000000001565e+00  -3.158500000000008523e+00  4.175249999999998352e+00  9.950021982192993164e+00
