tif_tot   t1   iter_no
1.193952992061484419e+00  2.509610605239868164e+01  3.650000000000000000e+02
1.202707143694122571e+00  2.516812109947204590e+01  3.660000000000000000e+02
1.189664884872592587e+00  2.524005413055419922e+01  3.670000000000000000e+02
1.174038352650653261e+00  2.534581613540649414e+01  3.680000000000000000e+02
1.115987760461733869e+00  2.544380402565002441e+01  3.690000000000000000e+02
1.108041570279361343e+00  2.553507494926452637e+01  3.700000000000000000e+02
1.090556789574844920e+00  2.560244894027709961e+01  3.710000000000000000e+02
1.089680832218864470e+00  2.566205501556396484e+01  3.720000000000000000e+02
1.071414035201464721e+00  2.570743894577026367e+01  3.730000000000000000e+02
1.075680016730987010e+00  2.576994013786315918e+01  3.740000000000000000e+02
1.055298019631956796e+00  2.583125090599060059e+01  3.750000000000000000e+02
1.065455165984289909e+00  2.590838599205017090e+01  3.760000000000000000e+02
1.051502452731413850e+00  2.597824692726135254e+01  3.770000000000000000e+02
1.046308678163800021e+00  2.605311894416809082e+01  3.780000000000000000e+02
1.039751734487886825e+00  2.612882614135742188e+01  3.790000000000000000e+02
1.029963071586253331e+00  2.620708012580871582e+01  3.800000000000000000e+02
1.018827559100728752e+00  2.625854301452636719e+01  3.810000000000000000e+02
9.989602458400100859e-01  2.630414605140686035e+01  3.820000000000000000e+02
9.664757160105716949e-01  2.635243201255798340e+01  3.830000000000000000e+02
9.402540542973667481e-01  2.640695691108703613e+01  3.840000000000000000e+02
9.216880948653612959e-01  2.645753097534179688e+01  3.850000000000000000e+02
9.004219680321329244e-01  2.650080013275146484e+01  3.860000000000000000e+02
